individual_id	directory	DIA_file
F117	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[280] 20200218_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_sample146.raw
F136	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[278] 20200218_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_sample129.raw
F165	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[290] 20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_sample175.raw
F17	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[212] 20191126_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample311.raw
F19	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[23] 20190919_QX0_AsJa_SA_AMLpatientsLFQProteome_DIA_sample125.raw
F49	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[284] 20200218_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_sample324.raw
F93	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[294] 20200310_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_sample279.raw
F94	/data1/kentsisa/AML_proteogenomics/AML_Proteogenomic_Oellerich_PMID35245447/PXD023201	[277] 20200218_QX4_AsJa_SA_AMLpatientsLFQproteome_DIA_sample104.raw
